"version","subjCode","gender","Days","curTrialIndex","audio","audioType","expTimer","trialStart","trialTime","totalTime","lookAways","looking_time","audioStartTime","audioEndTime","subj_exclusion","subj_exclusion_reason","trial_exclusion"
"version3","Bird_104","f",242,2,"starling_1_70dB","birdsong",51570.1468513,30672.606395,20897.5404563,17734.2900317,2,15845.1094507,33819.3991812,17750.7107143,"no","","no"
"version3","Bird_104","f",242,3,"backjapanese_1_65dB","backward",77401.48309,52210.3618518,25191.1212382,19589.6995359,6,16526.0948833,57795.2855381,19606.1653867,"no","","no"
"version3","Bird_104","f",242,4,"japanese_1_65dB","forward",84340.920103,78123.3792497,6217.54085325,2688.88267639,1,1552.18326507,81634.9546197,2705.91278712,"no","","no"
"version3","Bird_104","f",242,5,"starling_1_70dB","birdsong",105573.352765,85154.2540887,20419.098676,18285.8987713,2,16631.7302283,87270.6425377,18302.6736134,"no","","no"
"version3","Bird_104","f",242,6,"backjapanese_1_65dB","backward",111592.240588,106248.521427,5343.71916077,2554.36297142,1,1434.46338162,109023.591814,2568.61387103,"no","","no"
"version3","Bird_104","f",242,7,"japanese_1_65dB","forward",116675.00065,112215.522315,4459.47833502,2323.06430442,1,1168.91731898,114335.047214,2339.92092832,"no","","no"
"version3","Bird_104","f",242,8,"backjapanese_1_65dB","backward",128213.053464,117375.511393,10837.5420714,8125.68043108,4,5915.58308684,120070.655335,8142.35843543,"no","","no"
"version3","Bird_104","f",242,9,"starling_1_70dB","birdsong",138979.099456,128919.735479,10059.3639774,7140.9452192,2,5773.71534199,131822.797402,7156.27639086,"no","","no"
"version3","Bird_104","f",242,10,"backjapanese_1_65dB","backward",167885.627352,139627.106308,28258.5210436,20308.0790799,8,16113.8364474,147563.045868,20322.5469236,"no","","no"
"version3","Bird_104","f",242,11,"starling_1_70dB","birdsong",194738.409232,168723.032892,26015.3763398,17975.2259435,4,16049.7979066,176747.350134,17991.0245372,"no","","no"
"version3","Bird_104","f",242,12,"japanese_1_65dB","forward",200624.073539,195510.129646,5113.94389294,2390.53939006,1,1235.34429781,198214.600816,2409.41626302,"no","","no"
