subjCode	sex	age	seed	experimenter	inputType	input	gaze	pygazeVersion	trialType	trialID	blockID	image	audio	audioType	audioDur	box	curTrialIndex	expTimer	trialStart	trialTime	totalTime	lookAways	totalLookingTime	totalLookingTimeNS	agScreenTime	startScreenTime	audioStartTime	audioEndTime
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp2	9	131132.864565	121912.434318	9220.43024737	4965.28004951	1	3947.5912363	3829.09733467	121912.441504	125131.12867	126150.891113	4981.94949926
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	3	4	star1	starling_1_70dB	birdsong	34250	wp7	10	139375.411475	131742.177694	7633.23378086	2927.33262799	1	1907.58318815	1780.05086211	131742.185565	135412.741256	136433.121339	2942.25899703
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp6	11	147334.894259	140001.876874	7333.01738426	4513.63633876	1	3511.19178269	3350.87455157	140001.886113	141784.53175	142803.375089	4531.49213732
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp11	12	169486.373927	148026.200618	21460.1733089	5351.39227461	3	3883.99719135	3746.66918971	148026.207804	163099.850398	164120.032015	5366.31898582
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	2	1	star1	backjapanese_1_65dB	backward	34250	wp7	1	54538.2807078	36796.243993	17742.0367149	14758.2952027	2	13386.1772399	12606.5831922	36796.2539163	38727.6626294	39768.2215923	14770.0177114
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp4	2	77744.5284922	55198.05421	22546.4742822	2589.50517586	1	1585.46091378	1785.93435834	55198.0648177	74116.9681072	75138.2190465	2606.26633069
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	3	1	star1	starling_1_70dB	birdsong	34250	wp3	3	100371.829845	78383.3326718	21988.4971729	18418.7205637	1	17396.360609	18056.9608255	78383.3422529	80859.5769522	81930.2131253	18441.5722355
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp5	4	154936.920941	101216.752806	53720.1681351	34265.1717143	2	33482.0470214	33260.0755814	101216.76444	119627.103913	120657.000108	34279.8380242
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	3	2	star1	starling_1_70dB	birdsong	34250	wp9	5	179129.486534	155696.185206	23433.3013278	20877.3855295	1	19866.7987265	19980.9520355	155696.194445	157211.870879	158236.272298	20893.1841233
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	2	2	star1	backjapanese_1_65dB	backward	34250	wp12	6	190182.613882	179762.665223	10419.9486588	8270.24286787	1	7265.97550241	7549.05536931	179762.676173	180870.042622	181894.690413	8287.89027693
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	3	3	star1	starling_1_70dB	birdsong	34250	wp1	7	232717.629136	191310.810728	41406.8184089	34277.400654	1	33913.9234988	34243.5854356	191310.819967	197386.778456	198423.828331	34293.7628233
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	2	3	star1	backjapanese_1_65dB	backward	34250	wp6	8	245755.220688	233555.319031	12199.9016566	10076.1846721	2	8955.11618484	9807.0231028	233555.330323	234620.402257	235662.394967	10092.7901336
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp2	9	268125.466567	246367.887895	21757.5786713	13076.2459229	2	11958.8374261	11876.362402	246367.897476	254014.583159	255034.82021	13090.6135069
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	3	4	star1	starling_1_70dB	birdsong	34250	wp10	10	279494.507961	268747.137296	10747.370665	8253.81910559	2	7222.00736927	7480.63517397	268747.147562	270198.390576	271223.991347	8270.48034297
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp8	11	297969.216866	280318.719263	17650.4976027	8644.24112684	3	7340.80547161	6892.01385702	280318.73124	288288.607151	289310.598232	8658.58202061
Bird_103	f	7.2	103	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp11	12	311160.564629	298815.069538	12345.495091	4112.24016326	1	3094.88360983	2965.45114103	298815.07912	306011.073387	307031.672126	4128.8576012
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp12	1	29835.4944477	21632.6886832	8202.80576457	6015.06118919	2	4958.67762659	4806.35310832	21632.6972377	22779.639558	23805.5523999	6029.91193577
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	3	1	star1	starling_1_70dB	birdsong	34250	wp5	2	51570.1468513	30672.606395	20897.5404563	17734.2900317	2	16614.1731556	15845.1094507	30672.6289791	32794.5871424	33819.3991812	17750.7107143
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	2	1	star1	backjapanese_1_65dB	backward	34250	wp11	3	77401.48309	52210.3618518	25191.1212382	19589.6995359	6	15741.6377294	16526.0948833	52210.3714329	56772.6809225	57795.2855381	19606.1653867
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp2	4	84340.920103	78123.3792497	6217.54085325	2688.88267639	1	1688.40464659	1552.18326507	78123.3912261	80614.6032797	81634.9546197	2705.91278712
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	3	2	star1	starling_1_70dB	birdsong	34250	wp1	5	105573.352765	85154.2540887	20419.098676	18285.8987713	2	16949.3620338	16631.7302283	85154.2681182	86230.4962476	87270.6425377	18302.6736134
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	2	2	star1	backjapanese_1_65dB	backward	34250	wp6	6	111592.240588	106248.521427	5343.71916077	2554.36297142	1	1554.07177363	1434.46338162	106248.861899	107997.390512	109023.591814	2568.61387103
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp10	7	116675.00065	112215.522315	4459.47833502	2323.06430442	1	1303.24095301	1168.91731898	112215.532238	113297.243852	114335.047214	2339.92092832
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	2	3	star1	backjapanese_1_65dB	backward	34250	wp7	8	128213.053464	117375.511393	10837.5420714	8125.68043108	4	5899.00773743	5915.58308684	117375.520974	119050.03504	120070.655335	8142.35843543
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	3	3	star1	starling_1_70dB	birdsong	34250	wp9	9	138979.099456	128919.735479	10059.3639774	7140.9452192	2	6056.905734	5773.71534199	128919.74506	130802.466593	131822.797402	7156.27639086
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp8	10	167885.627352	139627.106308	28258.5210436	20308.0790799	8	16497.6550193	16113.8364474	139627.121022	146535.048104	147563.045868	20322.5469236
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	3	4	star1	starling_1_70dB	birdsong	34250	wp4	11	194738.409232	168723.032892	26015.3763398	17975.2259435	4	16554.2507354	16049.7979066	168723.042815	175731.354443	176747.350134	17991.0245372
Bird_104	f	7.8	104	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp3	12	200624.073539	195510.129646	5113.94389294	2390.53939006	1	1386.60188913	1235.34429781	195510.140596	197177.857195	198214.600816	2409.41626302
